team,elo,strength
Albania,1679.3496724908698,1678.6698210941308
United Arab Emirates,1673.7578674746621,1674.4961776464913
Catalonia,1673.190247447485,1673.190247447485
Israel,1689.7661173672352,1671.9353624524815
Isle of Wight,1663.166062099632,1663.166062099632
Northern Ireland,1664.8199098316582,1660.497116198009
Jamaica,1654.6831548143139,1660.287924994477
North Macedonia,1645.5012791982547,1657.5178691649826
Burkina Faso,1645.3613187300664,1656.4050728365
Haiti,1693.127972168074,1652.189490240809
Cape Verde,1648.7501949049192,1651.5924619235498
Bosnia and Herzegovina,1656.3851802923862,1650.7896472046057
Ynys Môn,1642.291506708957,1642.291506708957
Abkhazia,1636.414584025586,1636.414584025586
Qatar,1582.7131986785894,1634.6894663631701
Iceland,1626.2251403572848,1629.3015183424081
Ghana,1622.9522183182648,1626.2809668442671
Finland,1597.5862234145543,1614.3219119878436
Kárpátalja,1609.9359461294782,1609.9359461294782
Guatemala,1644.9144986152553,1605.9541570704773
Andalusia,1602.368055273563,1602.368055273563
Kernow,1601.7233031064006,1601.7233031064006
County of Nice,1598.008943632523,1598.008943632523
Rhodes,1594.2513555280323,1594.2513555280323
Curaçao,1601.9220724244083,1592.6186448706887
Oman,1577.5601427644726,1587.8599030890755
Panjab,1586.0183792348216,1586.0183792348216
Tamil Eelam,1579.0476394798739,1579.0476394798739
Réunion,1578.9832304355662,1578.9832304355662
Angola,1586.2018672213978,1577.1726198195447
Syria,1589.6359773205345,1576.528782637484
Ellan Vannin,1575.1104837746748,1575.1104837746748
Guinea,1568.011509976491,1574.4157705478226
Kurdistan,1565.6659163852898,1565.6659163852898
Menorca,1562.9534614949625,1562.9534614949625
Corsica,1562.6503110523254,1562.6503110523254
Artsakh,1562.4939667643755,1562.4939667643755
Palestine,1578.1637648340466,1559.170282937965
Belarus,1579.6110698845962,1557.9105797815726
Yorkshire,1557.0816478194904,1557.0816478194904
Zanzibar,1556.4085679333157,1556.4085679333157
Arameans Suryoye,1554.4127332346363,1554.4127332346363
China,1560.3962395908372,1552.734418543724
Zambia,1548.1364208227706,1551.914489999679
Chameria,1549.8567612425177,1549.8567612425177
Bahrain,1545.9729185116823,1549.0155979719475
Montenegro,1522.9002483973607,1547.5586022829848
Gabon,1522.7499775786462,1547.4566549590882
Cascadia,1545.0810074824815,1545.0810074824815
Bulgaria,1538.4000630266594,1544.6191866602571
Quebec,1543.5969956701867,1543.5969956701867
Galicia,1536.011761948087,1536.011761948087
Benin,1529.2950818014272,1533.6352214349665
Suriname,1587.9757427962693,1531.8848143999917
Uganda,1512.5983581044925,1531.774772183456
Thailand,1540.7437116539716,1530.2689676268428
Maule Sur,1528.345836909456,1528.345836909456
Trinidad and Tobago,1531.1607038352586,1523.1685500000988
Western Armenia,1521.1223104232806,1521.1223104232806
Canary Islands,1519.9250963155982,1519.9250963155982
Asturias,1519.1741326306253,1519.1741326306253
Guadeloupe,1516.840087394544,1516.840087394544
Parishes of Jersey,1515.4619463868135,1515.4619463868135
Surrey,1514.9501304297837,1514.9501304297837
Biafra,1514.9154052740219,1514.9154052740219
Silesia,1514.1802022288773,1514.1802022288773
Felvidék,1512.7753649928727,1512.7753649928727
Donetsk PR,1511.3212218634999,1511.3212218634999
Libya,1529.8028434367548,1508.7886515195175
Mapuche,1508.4707999873015,1508.4707999873015
El Salvador,1488.1650087574417,1508.2323207220188
United Koreans in Japan,1507.7677525265015,1507.7677525265015
Brittany,1507.761192209479,1507.761192209479
Elba Island,1506.8599175348807,1506.8599175348807
Gambia,1531.0212238892584,1505.2190899224554
Székely Land,1503.645075440313,1503.645075440313
New Caledonia,1586.8941875055468,1503.3546190177924
Délvidék,1500.5532067271135,1500.5532067271135
Crimea,1500.522621972035,1500.522621972035
Mozambique,1491.7027701373356,1499.7791316223506
Shetland,1499.6535965044907,1499.6535965044907
Sápmi,1496.0438121993088,1496.0438121993088
Central Spain,1494.7149754763902,1494.7149754763902
Madagascar,1505.874632726831,1494.6391878839195
Saugeais,1494.0760003195412,1494.0760003195412
Indonesia,1517.6232477727074,1493.249949527132
Madrid,1490.8092341592483,1490.8092341592483
Cilento,1490.0882963447425,1490.0882963447425
Kazakhstan,1509.558601605362,1487.643604200434
Republic of St. Pauli,1487.3404195527162,1487.3404195527162
Seborga,1487.234197977219,1487.234197977219
Luxembourg,1469.498442302074,1487.0147097052184
Luhansk PR,1486.594807217036,1486.594807217036
North Vietnam,1485.4043539614652,1485.4043539614652
Matabeleland,1484.382846819105,1484.382846819105
Comoros,1484.4641669483133,1484.2688247049925
Yoruba Nation,1483.6171610611987,1483.6171610611987
Sealand,1479.102715994411,1479.102715994411
Togo,1498.3775044016832,1477.5537462136926
Somaliland,1477.5086171419457,1477.5086171419457
Malaysia,1498.127867001889,1476.454959010789
Ryūkyū,1475.0442366436657,1475.0442366436657
Niger,1489.4374955815888,1474.2948205530276
Åland Islands,1473.8711366679797,1473.8711366679797
South Ossetia,1473.811766209042,1473.811766209042
West Papua,1473.6477674454766,1473.6477674454766
Vietnam,1479.1909333614879,1470.2315439852828
Martinique,1469.852839911506,1469.852839911506
Nicaragua,1501.3652233267132,1469.8211343740736
North Korea,1487.1115304783796,1469.6578377197693
Kyrgyzstan,1463.3978329190268,1469.3246136830678
South Yemen,1468.7463940943594,1468.7463940943594
Franconia,1468.22388923555,1468.22388923555
Equatorial Guinea,1438.1909197403108,1467.067489178616
Provence,1466.2050812443524,1466.2050812443524
Kenya,1465.445809729427,1464.4098735095492
Aymara,1463.1833631032425,1463.1833631032425
Romani people,1462.4918617586861,1462.4918617586861
Greenland,1461.0720386979324,1461.0720386979324
Hmong,1459.5730142159375,1459.5730142159375
Sudan,1465.8939029693893,1458.8615522172754
Kabylia,1456.729088497588,1456.729088497588
Armenia,1436.5847301032977,1456.4984845023966
Mauritania,1448.7462941657443,1453.2519414843744
East Turkestan,1452.998487737895,1452.998487737895
Tajikistan,1437.0364248550256,1452.4700568956796
Gotland,1452.028042825449,1452.028042825449
Saarland,1451.8771146694173,1451.8771146694173
Mayotte,1451.670366281479,1451.670366281479
Kuwait,1484.2497741981986,1451.2261316086133
Sierra Leone,1461.1496024101975,1451.1764743976926
Zimbabwe,1467.9480775561015,1450.634329551814
Chechnya,1448.3363850144362,1448.3363850144362
Rwanda,1459.000361911961,1444.2898723708238
Lebanon,1436.3286607044988,1440.9996084358654
Tahiti,1506.058983439304,1440.1201230546815
Dominican Republic,1479.1644084397603,1439.262465641777
Tanzania,1418.9685438534539,1437.6502332281161
Manchukuo,1432.2003843331902,1432.2003843331902
Gozo,1430.1954352181551,1430.1954352181551
Western Isles,1429.8980184319444,1429.8980184319444
Malawi,1437.1379100052252,1429.0185785281456
Găgăuzia,1428.9610517355272,1428.9610517355272
Guyana,1481.5393785826036,1428.8897156977193
Namibia,1409.6972545410179,1426.0862107056569
Niue,1425.3274912172287,1425.3274912172287
Monaco,1425.2235107584886,1425.2235107584886
Palau,1421.9735655841744,1421.9735655841744
Estonia,1423.3338128701673,1417.280671043252
Marshall Islands,1416.9902824203543,1416.9902824203543
Vatican City,1415.4148722701275,1415.4148722701275
Faroe Islands,1434.378665014429,1414.396943651398
Saint Barthélemy,1412.8562335012928,1412.8562335012928
French Guiana,1411.27902973791,1411.27902973791
Azerbaijan,1401.7347379427606,1408.934377180548
Liberia,1437.3741983377479,1407.143170274318
Ticino,1406.6067730185277,1406.6067730185277
Orkney,1399.9497184372544,1399.9497184372544
Western Australia,1394.3408727946885,1394.3408727946885
Western Sahara,1393.3251401652499,1393.3251401652499
Cyprus,1383.135555745344,1389.4336934842065
Papua New Guinea,1445.8076090113768,1381.7750641763973
Raetia,1381.6282622051287,1381.6282622051287
Two Sicilies,1381.464007677138,1381.464007677138
Botswana,1390.1957766110886,1381.1377445916162
Turkmenistan,1387.1429068774487,1379.224450973122
Vanuatu,1429.9478260745113,1377.9423388352343
Lesotho,1409.1767522302682,1377.1853885090934
Barawa,1376.491660942447,1376.491660942447
Fiji,1406.1379060355775,1375.3856633423813
Guinea-Bissau,1362.9306520749956,1374.8720107676884
Burundi,1381.0852941314815,1371.4468281697336
Ethiopia,1390.5374717461043,1368.1291009399047
Latvia,1357.3475073665454,1358.6400202485986
Cuba,1403.0011391986247,1355.428885418774
Vietnam Republic,1355.3982200743444,1355.3982200743444
Central African Republic,1352.8846447942922,1353.103783040486
Yemen DPR,1352.1679756388048,1352.1679756388048
Congo,1329.414765706438,1349.1283468703098
Chagos Islands,1349.1153643350533,1349.1153643350533
Lithuania,1352.4007499894678,1347.5709734528189
Saint Helena,1343.1961718977027,1343.1961718977027
Philippines,1344.2383848084883,1342.1847849957044
Saare County,1340.090669803573,1340.090669803573
Hitra,1339.2970207076933,1339.2970207076933
Solomon Islands,1348.9025812863197,1338.7155709341503
Puerto Rico,1356.0859279005056,1335.5928990660375
Malta,1365.8933649276594,1330.1343157618703
Sark,1327.77961839924,1327.77961839924
Moldova,1335.9739588123366,1321.1124818030632
Hong Kong,1321.3110715732846,1319.97863449328
Micronesia,1318.8790370000158,1318.8790370000158
Ambazonia,1314.0253043584012,1314.0253043584012
Bermuda,1339.1340056004183,1313.442138981914
Saint Vincent and the Grenadines,1348.1964776294024,1311.261996245737
Singapore,1308.2236922211052,1299.7873371558467
Eswatini,1307.141229134268,1297.9661552562548
Yemen,1300.515579602224,1296.9562774427382
Saint Martin,1292.097282766154,1292.097282766154
India,1247.7452750618231,1290.0240806444845
Wallis Islands and Futuna,1289.5416363403954,1289.5416363403954
Saint Pierre and Miquelon,1286.3144967293388,1286.3144967293388
Sint Maarten,1284.2288492598384,1284.2288492598384
Saint Kitts and Nevis,1262.1094590284988,1276.6472744261866
Grenada,1285.8252230048497,1272.7799899868219
Tibet,1261.5466799721514,1261.5466799721514
South Sudan,1270.0992164786885,1261.1752115650324
Belize,1283.7578819637108,1247.3564183968363
Chad,1245.456273352831,1227.4739789174773
Saint Lucia,1212.7516819191712,1225.6132354981655
Afghanistan,1203.6382228320167,1221.8892162349684
Kiribati,1220.5478901990055,1220.5478901990055
Falkland Islands,1211.5079040733558,1211.5079040733558
Montserrat,1221.1505526015574,1207.519254363851
Tuvalu,1205.4349125928197,1205.4349125928197
Mauritius,1215.3119814335496,1201.9700001553874
Darfur,1201.2634832829299,1201.2634832829299
Myanmar,1158.1343442498928,1191.7451665578194
Samoa,1216.5875136790182,1191.2458938304421
Frøya,1187.874528712288,1187.874528712288
Aruba,1199.4904278981858,1174.3335037482527
Andorra,1156.099936332953,1174.2816742053733
Eritrea,1197.446846949203,1171.0873375299059
Dominica,1152.9789863912786,1154.8125787414012
São Tomé and Príncipe,1172.0574677741981,1153.0553921711085
Antigua and Barbuda,1105.807333598806,1151.3001317893313
Bangladesh,1140.3222943222077,1145.2622952126685
Barbados,1117.5772454444552,1136.0619435974634
Cook Islands,1125.8016576643727,1128.058926531002
Gibraltar,1149.0012059514872,1127.9771278406743
Nepal,1101.7248798295552,1125.9541736741546
Bonaire,1114.6109955363556,1114.6109955363556
Cambodia,1089.3455978510085,1113.1353550592623
Taiwan,1064.1197496382074,1111.883042280905
Djibouti,1095.6004085292948,1099.9083093580987
Alderney,1078.5742662074729,1078.5742662074729
Maldives,1001.8186195187358,1070.7947210777354
Tonga,1060.1565014539456,1068.525535269502
Pakistan,1061.6482765096434,1067.5498565545997
Somalia,1052.3943096175558,1059.564433850429
Cayman Islands,1032.6821967183962,1055.0420297927358
Sri Lanka,1030.1738884257572,1052.9392933230952
Mongolia,984.1448914707978,1029.6189695187159
Seychelles,1006.5589235856663,1023.4463056187326
British Virgin Islands,1013.9983572386602,1014.4463731653174
Laos,950.9083988135307,1009.7902088145261
Liechtenstein,986.3524688994859,1008.0567636441945
Turks and Caicos Islands,978.3343302982178,1000.9850544816522
Guam,962.697057049159,996.2316591863333
United States Virgin Islands,967.3084083528673,985.3979703025839
American Samoa,917.5030314835298,984.0785167552856
Brunei,898.9411974001122,976.742957757309
Bahamas,938.5322905993352,974.2195069232772
Northern Mariana Islands,962.9767083253433,962.9767083253433
Timor-Leste,895.2131116585666,959.4588778423869
San Marino,925.3876804201128,940.9834864509669
Bhutan,850.2197940000714,938.8510283073862
Macau,839.4803959095126,923.6655302772999
Anguilla,888.1479673490969,923.1153355373539
